CustomerID,Recency,Frequency,Monetary
16395.0,61,5,1486.9
15714.0,12,2,330.88
14234.0,22,4,775.46
18050.0,359,1,74.4
12667.0,58,1,620.13
12791.0,374,1,192.60000000000002
13934.0,264,1,922.1
14162.0,174,2,289.36
14901.0,11,9,1421.29
18189.0,78,2,1090.24
15701.0,2,4,1542.14
16717.0,24,6,3858.38
12897.0,205,2,216.5
13277.0,16,4,258.4
18180.0,5,6,1843.75
17092.0,50,4,1777.78
15408.0,264,1,267.18
16160.0,65,2,1025.44
15986.0,30,1,168.12
16755.0,114,3,1496.83
14823.0,180,3,321.43
14076.0,129,1,122.47
15804.0,1,13,4206.39
12398.0,46,1,1635.6599999999999
16178.0,138,1,197.9
17735.0,2,19,13110.02
16209.0,89,5,2262.62
17279.0,58,1,187.82999999999998
13694.0,4,50,65039.62
13220.0,78,4,819.2900000000001
15098.0,182,3,39916.5
15320.0,44,1,267.13
15469.0,50,2,538.55
14931.0,5,5,1257.68
12633.0,59,4,2163.98
17813.0,14,5,1770.8799999999999
18236.0,30,6,882.24
12752.0,81,1,4366.78
15147.0,240,1,623.5
16148.0,296,1,76.32000000000001
15148.0,11,1,301.29
15680.0,9,3,1333.68
18071.0,258,2,453.0
14413.0,362,1,122.7
17905.0,71,4,800.24
14624.0,57,2,225.85
16113.0,183,1,161.38
13174.0,16,3,2817.03
16109.0,219,2,611.88
14307.0,89,6,2995.72
15042.0,199,1,135.93
14224.0,110,4,1050.12
15727.0,17,7,5178.96
14655.0,8,4,1932.23
16776.0,60,1,388.28
13104.0,3,6,1098.48
17155.0,18,2,251.70000000000002
16951.0,135,3,1277.75
17351.0,36,3,587.15
15091.0,68,1,480.71
16586.0,249,1,463.95
12436.0,100,1,509.01
15364.0,96,2,913.19
15407.0,34,4,1056.44
13370.0,372,1,754.87
16872.0,77,3,680.02
18036.0,32,3,405.62
17423.0,46,2,698.41
17434.0,2,7,2373.82
14776.0,51,11,2538.3
14117.0,144,1,90.0
14816.0,197,1,271.85
13990.0,213,1,311.3
17560.0,95,5,854.95
14178.0,9,7,1620.93
12615.0,2,4,2291.19
14340.0,219,1,134.7
17082.0,33,2,2003.85
16366.0,19,1,327.3
13590.0,11,6,1981.92
